HistoryID,CaseMasterID,CaseStatusID,ChangedByEmployeeID,ChangeDate,Remarks
161,57,1,185,2024-09-22,Case registered
162,57,2,185,2024-09-29,Investigation taken up
163,57,5,185,2025-04-01,Status updated to Closed - Convicted
164,58,1,245,2025-07-13,Case registered
165,58,2,245,2025-07-28,Investigation taken up
166,58,8,245,2026-03-16,Status updated to Closed - Undetected
167,59,1,355,2025-03-15,Case registered
168,59,2,355,2025-04-09,Investigation taken up
169,59,8,355,2025-11-11,Status updated to Closed - Undetected
170,60,1,101,2024-08-12,Case registered
171,60,2,101,2024-08-23,Investigation taken up
172,60,5,101,2025-04-02,Status updated to Closed - Convicted
173,61,1,51,2026-07-10,Case registered
174,61,2,51,2026-07-17,Investigation taken up
175,62,1,231,2024-12-19,Case registered
176,62,2,231,2025-01-10,Investigation taken up
177,62,6,231,2025-07-27,Status updated to Closed - Acquitted
178,63,1,306,2026-02-05,Case registered
179,63,2,306,2026-02-15,Investigation taken up
180,63,8,306,2026-10-31,Status updated to Closed - Undetected
181,64,1,444,2026-06-20,Case registered
182,65,1,227,2024-08-02,Case registered
183,65,2,227,2024-09-01,Investigation taken up
184,65,5,227,2025-03-03,Status updated to Closed - Convicted
185,66,1,293,2026-05-15,Case registered
186,66,2,293,2026-05-25,Investigation taken up
187,66,3,293,2026-11-08,Status updated to Charge Sheeted
188,67,1,357,2026-03-19,Case registered
189,67,2,357,2026-03-30,Investigation taken up
190,67,3,357,2026-05-23,Status updated to Charge Sheeted
191,68,1,385,2025-11-25,Case registered
192,68,2,385,2025-12-12,Investigation taken up
193,68,8,385,2026-09-03,Status updated to Closed - Undetected
194,69,1,319,2026-07-10,Case registered
195,69,2,319,2026-07-25,Investigation taken up
196,70,1,133,2024-06-01,Case registered
197,70,2,133,2024-06-07,Investigation taken up
198,70,6,133,2024-07-12,Status updated to Closed - Acquitted
199,71,1,158,2026-06-10,Case registered
200,71,2,158,2026-06-27,Investigation taken up
201,71,3,158,2026-08-26,Status updated to Charge Sheeted
202,72,1,17,2026-06-13,Case registered
203,72,2,17,2026-06-30,Investigation taken up
204,73,1,94,2024-10-22,Case registered
205,73,2,94,2024-11-01,Investigation taken up
206,73,8,94,2025-06-15,Status updated to Closed - Undetected
207,74,1,110,2026-04-08,Case registered
208,74,2,110,2026-04-29,Investigation taken up
209,74,3,110,2026-12-21,Status updated to Charge Sheeted
210,75,1,271,2025-08-18,Case registered
211,75,2,271,2025-08-23,Investigation taken up
212,75,3,271,2026-05-25,Status updated to Charge Sheeted
213,76,1,21,2026-03-11,Case registered
214,76,2,21,2026-03-30,Investigation taken up
215,76,4,21,2026-10-28,Status updated to Pending Trial
216,77,1,92,2024-12-26,Case registered
217,77,2,92,2025-01-13,Investigation taken up
218,77,8,92,2025-04-27,Status updated to Closed - Undetected
219,78,1,181,2025-08-27,Case registered
220,78,2,181,2025-09-23,Investigation taken up
221,78,8,181,2025-11-09,Status updated to Closed - Undetected
222,79,1,174,2024-10-14,Case registered
223,79,2,174,2024-11-08,Investigation taken up
224,79,5,174,2025-04-28,Status updated to Closed - Convicted
225,80,1,178,2026-05-05,Case registered
226,80,2,178,2026-05-16,Investigation taken up
227,81,1,54,2025-10-10,Case registered
228,81,2,54,2025-10-31,Investigation taken up
229,81,8,54,2026-05-05,Status updated to Closed - Undetected
230,82,1,403,2026-05-21,Case registered
231,82,2,403,2026-06-17,Investigation taken up
232,83,1,81,2026-01-05,Case registered
233,83,2,81,2026-01-19,Investigation taken up
234,83,4,81,2026-05-17,Status updated to Pending Trial
235,84,1,319,2024-12-23,Case registered
236,84,2,319,2025-01-01,Investigation taken up
237,84,8,319,2025-04-24,Status updated to Closed - Undetected
238,85,1,52,2026-03-20,Case registered
239,85,2,52,2026-04-02,Investigation taken up
240,86,1,370,2026-03-01,Case registered
241,86,2,370,2026-03-18,Investigation taken up
242,86,4,370,2026-08-13,Status updated to Pending Trial
243,87,1,55,2025-08-18,Case registered
244,87,2,55,2025-08-31,Investigation taken up
245,87,3,55,2026-02-01,Status updated to Charge Sheeted
246,88,1,357,2026-05-23,Case registered
247,88,2,357,2026-06-04,Investigation taken up
248,88,3,357,2026-11-20,Status updated to Charge Sheeted
249,89,1,157,2024-12-21,Case registered
250,89,2,157,2025-01-14,Investigation taken up
251,89,4,157,2025-07-30,Status updated to Pending Trial
252,90,1,161,2026-02-09,Case registered
253,90,2,161,2026-02-15,Investigation taken up
254,90,3,161,2026-07-23,Status updated to Charge Sheeted
255,91,1,80,2026-03-03,Case registered
256,91,2,80,2026-03-13,Investigation taken up
257,91,4,80,2026-08-20,Status updated to Pending Trial
258,92,1,422,2026-03-06,Case registered
259,92,2,422,2026-03-20,Investigation taken up
260,92,3,422,2026-08-02,Status updated to Charge Sheeted
261,93,1,126,2024-02-22,Case registered
262,93,2,126,2024-03-12,Investigation taken up
263,93,4,126,2024-09-04,Status updated to Pending Trial
264,94,1,418,2026-05-07,Case registered
265,94,2,418,2026-05-31,Investigation taken up
266,95,1,80,2025-12-01,Case registered
267,95,2,80,2025-12-16,Investigation taken up
268,95,8,80,2026-01-29,Status updated to Closed - Undetected
269,96,1,380,2025-11-01,Case registered
270,96,2,380,2025-11-29,Investigation taken up
271,96,3,380,2026-01-03,Status updated to Charge Sheeted
272,97,1,191,2025-11-28,Case registered
273,97,2,191,2025-12-08,Investigation taken up
274,97,4,191,2026-09-16,Status updated to Pending Trial
275,98,1,155,2025-03-11,Case registered
276,98,2,155,2025-03-30,Investigation taken up
277,98,5,155,2025-04-21,Status updated to Closed - Convicted
278,99,1,291,2026-05-12,Case registered
279,99,2,291,2026-06-11,Investigation taken up
280,99,3,291,2026-12-20,Status updated to Charge Sheeted
281,100,1,94,2026-06-15,Case registered
282,100,2,94,2026-07-12,Investigation taken up
283,101,1,314,2025-01-20,Case registered
284,101,2,314,2025-01-25,Investigation taken up
285,101,5,314,2025-03-12,Status updated to Closed - Convicted
286,102,1,320,2025-05-06,Case registered
287,102,2,320,2025-05-18,Investigation taken up
288,102,5,320,2026-01-22,Status updated to Closed - Convicted
289,103,1,101,2025-10-19,Case registered
290,103,2,101,2025-11-13,Investigation taken up
291,103,8,101,2026-01-07,Status updated to Closed - Undetected
292,104,1,244,2024-12-22,Case registered
293,104,2,244,2025-01-21,Investigation taken up
294,104,7,244,2025-02-26,Status updated to Closed - False Case
295,105,1,319,2025-06-07,Case registered
296,105,2,319,2025-06-16,Investigation taken up
297,105,4,319,2025-09-29,Status updated to Pending Trial
298,106,1,151,2024-11-22,Case registered
299,106,2,151,2024-12-20,Investigation taken up
300,106,8,151,2025-04-26,Status updated to Closed - Undetected
301,107,1,229,2026-06-09,Case registered
302,107,2,229,2026-07-03,Investigation taken up
303,108,1,298,2026-04-24,Case registered
304,108,2,298,2026-05-18,Investigation taken up
305,108,3,298,2027-02-13,Status updated to Charge Sheeted
306,109,1,37,2025-10-03,Case registered
307,109,2,37,2025-10-15,Investigation taken up
308,109,4,37,2026-06-19,Status updated to Pending Trial
309,110,1,194,2024-10-05,Case registered
310,110,2,194,2024-10-25,Investigation taken up
311,110,5,194,2025-03-02,Status updated to Closed - Convicted
312,111,1,241,2026-04-12,Case registered
313,111,2,241,2026-04-25,Investigation taken up
314,112,1,75,2025-11-09,Case registered
315,112,2,75,2025-11-16,Investigation taken up
316,112,4,75,2026-06-20,Status updated to Pending Trial
317,113,1,104,2024-10-16,Case registered
318,113,2,104,2024-11-07,Investigation taken up
319,113,6,104,2025-03-19,Status updated to Closed - Acquitted
320,114,1,211,2025-10-01,Case registered
321,114,2,211,2025-10-11,Investigation taken up
322,114,8,211,2025-12-29,Status updated to Closed - Undetected
323,115,1,21,2026-07-10,Case registered
324,115,2,21,2026-07-25,Investigation taken up
325,116,1,447,2025-07-14,Case registered
326,116,2,447,2025-08-08,Investigation taken up
327,116,4,447,2025-08-21,Status updated to Pending Trial
328,117,1,420,2026-05-26,Case registered
329,117,2,420,2026-06-15,Investigation taken up
330,117,3,420,2027-01-08,Status updated to Charge Sheeted
331,118,1,132,2026-01-18,Case registered
332,118,2,132,2026-01-24,Investigation taken up
333,118,4,132,2026-10-26,Status updated to Pending Trial
334,119,1,353,2024-01-10,Case registered
335,119,2,353,2024-02-08,Investigation taken up
336,119,6,353,2024-06-19,Status updated to Closed - Acquitted
337,120,1,31,2024-08-08,Case registered
338,120,2,31,2024-09-02,Investigation taken up
339,120,6,31,2025-01-08,Status updated to Closed - Acquitted
340,121,1,235,2025-03-23,Case registered
341,121,2,235,2025-04-19,Investigation taken up
342,121,6,235,2025-06-26,Status updated to Closed - Acquitted
343,122,1,183,2025-12-15,Case registered
344,122,2,183,2026-01-03,Investigation taken up
345,122,4,183,2026-09-05,Status updated to Pending Trial
346,123,1,256,2026-05-23,Case registered
347,123,2,256,2026-06-03,Investigation taken up
348,124,1,296,2026-05-05,Case registered
349,124,2,296,2026-05-21,Investigation taken up
350,124,3,296,2027-02-07,Status updated to Charge Sheeted
351,125,1,86,2025-08-03,Case registered
352,125,2,86,2025-09-02,Investigation taken up
353,125,3,86,2026-03-19,Status updated to Charge Sheeted
354,126,1,54,2026-02-23,Case registered
355,126,2,54,2026-03-23,Investigation taken up
356,126,4,54,2026-04-06,Status updated to Pending Trial
357,127,1,92,2026-02-10,Case registered
358,127,2,92,2026-03-05,Investigation taken up
359,127,8,92,2026-11-13,Status updated to Closed - Undetected
360,128,1,10,2025-12-19,Case registered
361,128,2,10,2026-01-14,Investigation taken up
362,128,4,10,2026-10-11,Status updated to Pending Trial
363,129,1,61,2025-09-05,Case registered
364,129,2,61,2025-10-01,Investigation taken up
365,129,4,61,2026-05-05,Status updated to Pending Trial
366,130,1,19,2025-07-06,Case registered
367,130,2,19,2025-07-26,Investigation taken up
368,130,4,19,2025-09-15,Status updated to Pending Trial
369,131,1,24,2025-04-10,Case registered
370,131,2,24,2025-05-10,Investigation taken up
371,131,7,24,2025-09-07,Status updated to Closed - False Case
372,132,1,222,2025-12-07,Case registered
373,132,2,222,2025-12-16,Investigation taken up
374,132,3,222,2026-05-23,Status updated to Charge Sheeted
375,133,1,21,2025-04-19,Case registered
376,133,2,21,2025-04-30,Investigation taken up
377,133,4,21,2025-10-25,Status updated to Pending Trial
378,134,1,326,2025-07-08,Case registered
379,134,2,326,2025-07-21,Investigation taken up
380,134,8,326,2025-12-16,Status updated to Closed - Undetected
381,135,1,283,2024-04-15,Case registered
382,135,2,283,2024-04-29,Investigation taken up
383,135,4,283,2025-02-04,Status updated to Pending Trial
384,136,1,31,2025-06-08,Case registered
385,136,2,31,2025-07-08,Investigation taken up
386,136,6,31,2026-02-11,Status updated to Closed - Acquitted
387,137,1,423,2024-01-05,Case registered
388,137,2,423,2024-01-17,Investigation taken up
389,137,8,423,2024-03-10,Status updated to Closed - Undetected
390,138,1,68,2024-01-17,Case registered
391,138,2,68,2024-02-15,Investigation taken up
392,138,5,68,2024-05-17,Status updated to Closed - Convicted
393,139,1,239,2026-05-27,Case registered
394,139,2,239,2026-06-14,Investigation taken up
395,139,3,239,2027-02-15,Status updated to Charge Sheeted
396,140,1,99,2025-02-19,Case registered
397,140,2,99,2025-03-15,Investigation taken up
398,140,6,99,2025-06-08,Status updated to Closed - Acquitted
399,141,1,52,2025-10-01,Case registered
400,141,2,52,2025-10-28,Investigation taken up
401,141,3,52,2026-04-10,Status updated to Charge Sheeted
402,142,1,325,2025-06-28,Case registered
403,142,2,325,2025-07-07,Investigation taken up
404,142,8,325,2026-04-20,Status updated to Closed - Undetected
405,143,1,108,2024-12-14,Case registered
406,143,2,108,2024-12-25,Investigation taken up
407,143,5,108,2025-04-13,Status updated to Closed - Convicted
408,144,1,67,2026-04-18,Case registered
409,144,2,67,2026-05-15,Investigation taken up
410,144,3,67,2026-11-29,Status updated to Charge Sheeted
411,145,1,62,2026-03-13,Case registered
412,145,2,62,2026-04-06,Investigation taken up
413,145,3,62,2026-10-24,Status updated to Charge Sheeted
414,146,1,381,2025-12-20,Case registered
415,146,2,381,2026-01-18,Investigation taken up
416,146,4,381,2026-07-17,Status updated to Pending Trial
417,147,1,11,2024-12-03,Case registered
418,147,2,11,2025-01-02,Investigation taken up
419,147,6,11,2025-09-19,Status updated to Closed - Acquitted
420,148,1,372,2024-12-22,Case registered
421,148,2,372,2024-12-30,Investigation taken up
422,148,8,372,2025-09-29,Status updated to Closed - Undetected
423,149,1,288,2025-04-15,Case registered
424,149,2,288,2025-05-08,Investigation taken up
425,149,8,288,2025-07-12,Status updated to Closed - Undetected
426,150,1,59,2025-11-11,Case registered
427,150,2,59,2025-11-30,Investigation taken up
428,150,8,59,2026-03-25,Status updated to Closed - Undetected
429,151,1,446,2026-01-24,Case registered
430,151,2,446,2026-02-04,Investigation taken up
431,151,8,446,2026-06-30,Status updated to Closed - Undetected
432,152,1,76,2026-02-07,Case registered
433,152,2,76,2026-03-03,Investigation taken up
434,152,3,76,2026-04-13,Status updated to Charge Sheeted
435,153,1,3,2024-12-04,Case registered
436,153,2,3,2024-12-19,Investigation taken up
437,153,4,3,2025-09-03,Status updated to Pending Trial
438,154,1,237,2025-04-08,Case registered
439,154,2,237,2025-04-17,Investigation taken up
440,154,5,237,2025-10-11,Status updated to Closed - Convicted
441,155,1,418,2025-07-25,Case registered
442,155,2,418,2025-08-12,Investigation taken up
443,155,3,418,2025-12-05,Status updated to Charge Sheeted
444,156,1,87,2025-09-20,Case registered
445,156,2,87,2025-10-02,Investigation taken up
446,156,4,87,2026-03-19,Status updated to Pending Trial
447,157,1,397,2025-04-21,Case registered
448,157,2,397,2025-05-21,Investigation taken up
449,157,8,397,2025-11-06,Status updated to Closed - Undetected
450,158,1,103,2025-05-27,Case registered
451,158,2,103,2025-06-08,Investigation taken up
452,158,8,103,2025-09-17,Status updated to Closed - Undetected
453,159,1,100,2026-04-18,Case registered
454,159,2,100,2026-04-26,Investigation taken up
455,159,3,100,2026-11-30,Status updated to Charge Sheeted
456,160,1,83,2024-12-12,Case registered
457,160,2,83,2024-12-22,Investigation taken up
458,160,5,83,2025-05-17,Status updated to Closed - Convicted
459,161,1,56,2025-06-15,Case registered
460,161,2,56,2025-07-03,Investigation taken up
461,161,4,56,2025-11-08,Status updated to Pending Trial
462,162,1,35,2024-07-19,Case registered
463,162,2,35,2024-08-18,Investigation taken up
464,162,8,35,2024-10-06,Status updated to Closed - Undetected
465,163,1,96,2025-10-20,Case registered
466,163,2,96,2025-10-25,Investigation taken up
467,163,8,96,2026-05-07,Status updated to Closed - Undetected
468,164,1,447,2025-07-25,Case registered
469,164,2,447,2025-08-15,Investigation taken up
470,164,4,447,2026-01-13,Status updated to Pending Trial
471,165,1,320,2025-09-24,Case registered
472,165,2,320,2025-10-19,Investigation taken up
473,165,4,320,2026-05-30,Status updated to Pending Trial
474,166,1,232,2024-04-21,Case registered
475,166,2,232,2024-05-11,Investigation taken up
476,166,8,232,2025-02-05,Status updated to Closed - Undetected
477,167,1,352,2024-10-21,Case registered
478,167,2,352,2024-11-17,Investigation taken up
479,167,5,352,2025-07-22,Status updated to Closed - Convicted
480,168,1,93,2024-05-01,Case registered
481,168,2,93,2024-05-06,Investigation taken up
482,168,8,93,2024-12-07,Status updated to Closed - Undetected
483,169,1,59,2024-10-25,Case registered
484,169,2,59,2024-11-05,Investigation taken up
485,169,8,59,2025-05-01,Status updated to Closed - Undetected
486,170,1,392,2024-12-25,Case registered
487,170,2,392,2025-01-12,Investigation taken up
488,170,5,392,2025-03-08,Status updated to Closed - Convicted
489,171,1,159,2025-10-10,Case registered
490,171,2,159,2025-10-15,Investigation taken up
491,171,4,159,2026-05-04,Status updated to Pending Trial
492,172,1,147,2024-12-24,Case registered
493,172,2,147,2025-01-01,Investigation taken up
494,172,5,147,2025-09-30,Status updated to Closed - Convicted
495,173,1,209,2025-10-24,Case registered
496,173,2,209,2025-11-16,Investigation taken up
497,173,4,209,2026-05-13,Status updated to Pending Trial
498,174,1,66,2025-02-13,Case registered
499,174,2,66,2025-02-22,Investigation taken up
500,174,5,66,2025-10-26,Status updated to Closed - Convicted
501,175,1,97,2024-04-06,Case registered
502,175,2,97,2024-04-25,Investigation taken up
503,175,4,97,2024-11-02,Status updated to Pending Trial
504,176,1,440,2026-07-10,Case registered
505,176,2,440,2026-07-15,Investigation taken up
506,177,1,240,2026-02-09,Case registered
507,177,2,240,2026-03-01,Investigation taken up
508,177,3,240,2026-10-03,Status updated to Charge Sheeted
509,178,1,130,2026-05-12,Case registered
510,178,2,130,2026-05-27,Investigation taken up
511,179,1,263,2026-02-17,Case registered
512,179,2,263,2026-03-08,Investigation taken up
513,179,4,263,2026-10-06,Status updated to Pending Trial
514,180,1,114,2025-02-09,Case registered
515,180,2,114,2025-03-03,Investigation taken up
516,180,8,114,2025-10-14,Status updated to Closed - Undetected
517,181,1,337,2026-02-24,Case registered
518,181,2,337,2026-03-19,Investigation taken up
519,181,4,337,2026-11-11,Status updated to Pending Trial
520,182,1,135,2026-02-15,Case registered
521,182,2,135,2026-03-12,Investigation taken up
522,182,3,135,2026-07-13,Status updated to Charge Sheeted
523,183,1,206,2026-07-10,Case registered
524,184,1,1,2025-01-02,Case registered
525,184,2,1,2025-01-08,Investigation taken up
526,184,8,1,2025-04-09,Status updated to Closed - Undetected
527,185,1,9,2026-04-04,Case registered
528,185,2,9,2026-04-18,Investigation taken up
529,186,1,227,2025-02-12,Case registered
530,186,2,227,2025-02-20,Investigation taken up
531,186,5,227,2025-04-09,Status updated to Closed - Convicted
532,187,1,197,2025-10-10,Case registered
533,187,2,197,2025-10-15,Investigation taken up
534,187,8,197,2025-12-29,Status updated to Closed - Undetected
535,188,1,444,2025-09-02,Case registered
536,188,2,444,2025-10-02,Investigation taken up
537,188,8,444,2025-12-18,Status updated to Closed - Undetected
538,189,1,12,2024-10-02,Case registered
539,189,2,12,2024-10-15,Investigation taken up
540,189,7,12,2024-11-23,Status updated to Closed - False Case
541,190,1,291,2025-06-02,Case registered
542,190,2,291,2025-06-07,Investigation taken up
543,190,4,291,2025-07-29,Status updated to Pending Trial
544,191,1,318,2025-01-26,Case registered
545,191,2,318,2025-02-23,Investigation taken up
546,191,4,318,2025-06-17,Status updated to Pending Trial
547,192,1,159,2026-03-04,Case registered
548,192,2,159,2026-03-25,Investigation taken up
549,192,4,159,2026-04-11,Status updated to Pending Trial
550,193,1,311,2024-05-26,Case registered
551,193,2,311,2024-06-14,Investigation taken up
552,193,4,311,2024-11-24,Status updated to Pending Trial
553,194,1,36,2024-07-12,Case registered
554,194,2,36,2024-07-22,Investigation taken up
555,194,4,36,2025-01-28,Status updated to Pending Trial
556,195,1,23,2024-10-03,Case registered
557,195,2,23,2024-10-26,Investigation taken up
558,195,5,23,2025-06-02,Status updated to Closed - Convicted
559,196,1,57,2025-04-08,Case registered
560,196,2,57,2025-04-21,Investigation taken up
561,196,8,57,2025-07-17,Status updated to Closed - Undetected
562,197,1,390,2024-11-25,Case registered
563,197,2,390,2024-12-08,Investigation taken up
564,197,7,390,2025-03-24,Status updated to Closed - False Case
565,198,1,45,2025-09-22,Case registered
566,198,2,45,2025-10-18,Investigation taken up
567,198,3,45,2026-07-11,Status updated to Charge Sheeted
568,199,1,372,2025-12-03,Case registered
569,199,2,372,2025-12-08,Investigation taken up
570,199,3,372,2026-03-07,Status updated to Charge Sheeted
571,200,1,327,2025-02-08,Case registered
572,200,2,327,2025-02-23,Investigation taken up
573,200,5,327,2025-05-20,Status updated to Closed - Convicted
574,201,1,139,2025-06-05,Case registered
575,201,2,139,2025-06-15,Investigation taken up
576,201,8,139,2025-11-15,Status updated to Closed - Undetected
577,202,1,379,2026-02-06,Case registered
578,202,2,379,2026-03-07,Investigation taken up
579,202,4,379,2026-05-05,Status updated to Pending Trial
580,203,1,24,2025-11-09,Case registered
581,203,2,24,2025-11-29,Investigation taken up
582,203,4,24,2026-08-22,Status updated to Pending Trial
583,204,1,395,2024-05-09,Case registered
584,204,2,395,2024-05-22,Investigation taken up
585,204,5,395,2024-06-13,Status updated to Closed - Convicted
586,205,1,199,2025-10-17,Case registered
587,205,2,199,2025-11-12,Investigation taken up
588,205,8,199,2026-04-03,Status updated to Closed - Undetected
