CaseMasterID,CrimeNo,CaseNo,CrimeRegisteredDate,PolicePersonID,PoliceStationID,CaseCategoryID,GravityOffenceID,CrimeMajorHeadID,CrimeMinorHeadID,CaseStatusID,CourtID,IncidentFromDate,IncidentToDate,InfoReceivedPSDate,latitude,longitude,BriefFacts
15,100050029202600001,202600001,2026-03-11,101,29,1,2,2,8,4,9,2026-03-11,2026-03-11,2026-03-11,12.989321,77.616159,"A complaint was received on 2026-03-11 stating that the complainant was robbed at knifepoint near Area-7, Bengaluru Urban.  Investigation has been initiated by the station."
16,100190083202500001,202500001,2025-02-12,285,83,1,1,1,1,5,37,2025-02-09,2025-02-09,2025-02-12,13.152795,78.20272,"On 2025-02-12, the complainant reported that the victim was found dead under suspicious circumstances at Area-13 area of Kolar.  The matter was registered and taken up for investigation."
17,100110048202600001,202600001,2026-05-01,164,48,1,2,7,23,2,21,2026-04-30,2026-04-30,2026-05-01,12.801521,74.862747,"A complaint was received on 2026-05-01 stating that the complainant lost money through a fraudulent online transaction near Area-17, Dakshina Kannada. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
18,100030012202400001,202400001,2024-10-24,42,12,1,2,2,7,6,5,2024-10-22,2024-10-22,2024-10-24,15.832805,74.492599,"A complaint was received on 2024-10-24 stating that the complainant's house was broken into and valuables were stolen near Area-17, Belagavi.  Investigation has been initiated by the station."
19,100050021202400001,202400001,2024-01-06,69,21,1,2,3,14,7,9,2024-01-06,2024-01-06,2024-01-06,12.991113,77.69805,"On 2024-01-06, the complainant reported that counterfeit currency notes were found in circulation at Area-9 area of Bengaluru Urban.  The matter was registered and taken up for investigation."
20,100050028202600002,202600002,2026-03-10,96,28,1,2,7,24,3,10,2026-03-08,2026-03-08,2026-03-10,12.961675,77.616955,"A complaint was received on 2026-03-10 stating that the complainant's personal credentials were misused for financial fraud near Area-16, Bengaluru Urban.  Investigation has been initiated by the station."
21,100280115202500001,202500001,2025-11-01,404,115,1,2,2,6,3,55,2025-10-29,2025-10-29,2025-11-01,14.808904,74.626728,"On 2025-11-01, information was received at the station regarding property belonging to the complainant was stolen in Area-1 locality, Uttara Kannada district. Preliminary information suggests a pattern consistent with prior cases in the area."
22,100200087202600001,202600001,2026-06-08,298,87,1,1,1,1,3,39,2026-06-06,2026-06-06,2026-06-08,15.304162,76.12187,"A complaint was received on 2026-06-08 stating that the victim was found dead under suspicious circumstances near Area-15, Koppal.  Investigation has been initiated by the station."
23,100050026202600001,202600001,2026-07-10,88,26,1,2,2,7,1,10,2026-07-09,2026-07-09,2026-07-10,12.965659,77.681729,"A complaint was received on 2026-07-10 stating that the complainant's house was broken into and valuables were stolen near Area-13, Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
24,100050030202500001,202500001,2025-03-11,102,30,1,2,2,11,7,10,2025-03-09,2025-03-09,2025-03-11,12.941915,77.571875,"A complaint was received on 2025-03-11 stating that the complainant's vehicle was stolen from where it was parked near Area-18, Bengaluru Urban.  Investigation has been initiated by the station."
25,100050024202500001,202500001,2025-12-28,79,24,1,2,7,25,3,10,2025-12-25,2025-12-25,2025-12-28,12.974158,77.595422,"On 2025-12-28, the complainant reported that the complainant was repeatedly harassed online by an unknown person at Area-13 area of Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
26,100170077202500001,202500001,2025-04-13,266,77,1,2,1,3,6,33,2025-04-10,2025-04-10,2025-04-13,17.371722,76.764425,"A complaint was received on 2025-04-13 stating that the victim sustained grievous injuries following an altercation near Area-5, Kalaburagi. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
27,100170074202500001,202500001,2025-02-15,252,74,1,2,2,6,6,33,2025-02-14,2025-02-14,2025-02-15,17.288194,76.832244,"On 2025-02-15, the complainant reported that property belonging to the complainant was stolen at Area-14 area of Kalaburagi. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
28,100260110202400001,202400001,2024-03-03,388,110,1,2,2,11,5,51,2024-03-01,2024-03-01,2024-03-03,13.391052,77.208814,"On 2024-03-03, the complainant reported that the complainant's vehicle was stolen from where it was parked at Area-7 area of Tumakuru.  The matter was registered and taken up for investigation."
29,100210089202600001,202600001,2026-04-05,308,89,1,1,2,9,2,42,2026-04-03,2026-04-03,2026-04-05,12.483672,76.984675,"On 2026-04-05, information was received at the station regarding a group of armed persons robbed the complainant's premises in Area-20 locality, Mandya district. "
30,100150067202600001,202600001,2026-02-02,226,67,1,2,3,14,3,30,2026-02-02,2026-02-02,2026-02-02,12.937944,76.042183,"On 2026-02-02, information was received at the station regarding counterfeit currency notes were found in circulation in Area-11 locality, Hassan district. "
31,100050024202500002,202500002,2025-05-13,81,24,1,2,1,5,4,9,2025-05-12,2025-05-12,2025-05-13,12.987531,77.624605,"On 2025-05-13, information was received at the station regarding a person was reported missing under suspicious circumstances suggesting abduction in Area-11 locality, Bengaluru Urban district. Preliminary information suggests a pattern consistent with prior cases in the area."
32,100260106202600001,202600001,2026-01-02,377,106,1,2,7,24,4,52,2026-01-02,2026-01-02,2026-01-02,13.362999,77.137961,"On 2026-01-02, information was received at the station regarding the complainant's personal credentials were misused for financial fraud in Area-4 locality, Tumakuru district. "
33,100020009202400001,202400001,2024-04-21,30,9,1,2,3,13,4,3,2024-04-19,2024-04-19,2024-04-21,15.143764,76.970503,"A complaint was received on 2024-04-21 stating that funds entrusted to the accused were misappropriated near Area-2, Ballari.  Investigation has been initiated by the station."
34,100020008202500001,202500001,2025-12-27,25,8,1,2,2,10,4,3,2025-12-27,2025-12-27,2025-12-27,15.056793,76.872445,"A complaint was received on 2025-12-27 stating that the complainant's gold chain was snatched by persons on a two-wheeler near Area-6, Ballari. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
35,100130059202400001,202400001,2024-05-14,198,59,1,2,2,7,5,26,2024-05-14,2024-05-14,2024-05-14,15.394683,75.081275,"On 2024-05-14, information was received at the station regarding the complainant's house was broken into and valuables were stolen in Area-8 locality, Dharwad district. "
36,100290119202500001,202500001,2025-04-21,422,119,1,2,4,16,8,57,2025-04-18,2025-04-18,2025-04-21,16.928222,75.790976,"On 2025-04-21, the complainant reported that the complainant was harassed for dowry by her in-laws at Area-5 area of Vijayapura.  The matter was registered and taken up for investigation."
37,100050024202600001,202600001,2026-01-28,82,24,1,1,4,18,8,10,2026-01-26,2026-01-26,2026-01-28,12.959413,77.604713,"A complaint was received on 2026-01-28 stating that a sexual offence was reported against the complainant near Area-15, Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
38,100170074202600001,202600001,2026-01-11,255,74,1,2,4,17,3,34,2026-01-11,2026-01-11,2026-01-11,17.325308,76.923541,"On 2026-01-11, the complainant reported that the complainant was molested near a public place at Area-14 area of Kalaburagi.  The matter was registered and taken up for investigation."
39,100020006202600001,202600001,2026-04-15,21,6,1,1,5,20,2,4,2026-04-14,2026-04-14,2026-04-15,15.236343,76.948738,"A complaint was received on 2026-04-15 stating that a narcotics trafficking network was uncovered during a routine check near Area-13, Ballari. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
40,100250105202400001,202400001,2024-10-19,371,105,1,2,2,6,4,50,2024-10-17,2024-10-17,2024-10-19,14.008467,75.688117,"A complaint was received on 2024-10-19 stating that property belonging to the complainant was stolen near Area-7, Shivamogga.  Investigation has been initiated by the station."
41,100120054202500002,202500002,2025-08-27,181,54,1,2,2,6,8,24,2025-08-26,2025-08-26,2025-08-27,14.464904,76.037447,"On 2025-08-27, information was received at the station regarding property belonging to the complainant was stolen in Area-16 locality, Davanagere district. "
42,100290119202600001,202600001,2026-03-22,422,119,1,1,1,2,3,57,2026-03-20,2026-03-20,2026-03-22,16.747573,75.602891,"On 2026-03-22, information was received at the station regarding an attempt was made on the victim's life in Area-7 locality, Vijayapura district. "
43,100050029202400002,202400002,2024-03-16,101,29,1,2,6,22,5,10,2024-03-15,2024-03-15,2024-03-16,12.99295,77.617365,"On 2024-03-16, information was received at the station regarding an unlawful assembly gathered and caused a public disturbance in Area-9 locality, Bengaluru Urban district. "
44,100050026202500001,202500001,2025-10-12,88,26,1,1,1,2,3,10,2025-10-12,2025-10-12,2025-10-12,12.988982,77.570924,"A complaint was received on 2025-10-12 stating that an attempt was made on the victim's life near Area-3, Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
45,100110051202400001,202400001,2024-07-25,173,51,1,2,2,8,5,21,2024-07-25,2024-07-25,2024-07-25,12.860175,74.925131,"A complaint was received on 2024-07-25 stating that the complainant was robbed at knifepoint near Area-18, Dakshina Kannada.  Investigation has been initiated by the station."
46,100170077202400001,202400001,2024-05-24,265,77,1,2,5,19,6,34,2024-05-22,2024-05-22,2024-05-24,17.376045,76.892942,"On 2024-05-24, information was received at the station regarding narcotic substances were recovered from the accused in Area-1 locality, Kalaburagi district. Preliminary information suggests a pattern consistent with prior cases in the area."
47,100170074202400001,202400001,2024-01-18,254,74,1,2,6,21,7,34,2024-01-18,2024-01-18,2024-01-18,17.432909,76.793126,"On 2024-01-18, information was received at the station regarding a group of persons engaged in rioting and caused damage to property in Area-4 locality, Kalaburagi district. Preliminary information suggests a pattern consistent with prior cases in the area."
48,100230097202500001,202500001,2025-05-02,342,97,1,2,1,3,5,45,2025-05-01,2025-05-01,2025-05-02,16.099076,77.436419,"On 2025-05-02, information was received at the station regarding the victim sustained grievous injuries following an altercation in Area-19 locality, Raichur district. "
49,800120053202500001,202500001,2025-11-02,180,53,3,2,3,14,4,23,2025-10-31,2025-10-31,2025-11-02,14.402156,75.894824,"On 2025-11-02, information was received at the station regarding counterfeit currency notes were found in circulation in Area-6 locality, Davanagere district. "
50,100210088202600001,202600001,2026-02-25,305,88,1,2,3,13,3,42,2026-02-22,2026-02-22,2026-02-25,12.443671,76.960931,"A complaint was received on 2026-02-25 stating that funds entrusted to the accused were misappropriated near Area-2, Mandya.  Investigation has been initiated by the station."
51,800130060202500001,202500001,2025-10-20,200,60,3,2,2,7,4,25,2025-10-19,2025-10-19,2025-10-20,15.493072,74.971103,"On 2025-10-20, the complainant reported that the complainant's house was broken into and valuables were stolen at Area-14 area of Dharwad.  The matter was registered and taken up for investigation."
52,100250103202400001,202400001,2024-12-26,362,103,1,2,1,5,6,50,2024-12-24,2024-12-24,2024-12-26,13.811819,75.638327,"On 2024-12-26, information was received at the station regarding a person was reported missing under suspicious circumstances suggesting abduction in Area-18 locality, Shivamogga district. "
53,100050028202500001,202500001,2025-09-07,99,28,1,2,7,25,8,9,2025-09-05,2025-09-05,2025-09-07,13.025632,77.694808,"A complaint was received on 2025-09-07 stating that the complainant was repeatedly harassed online by an unknown person near Area-15, Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
54,800130060202500002,202500002,2025-08-26,200,60,3,2,3,13,4,26,2025-08-24,2025-08-24,2025-08-26,15.430312,74.959944,"On 2025-08-26, the complainant reported that funds entrusted to the accused were misappropriated at Area-6 area of Dharwad.  The matter was registered and taken up for investigation."
55,100160070202500001,202500001,2025-08-09,238,70,1,1,2,9,3,31,2025-08-07,2025-08-07,2025-08-09,14.817193,75.466573,"On 2025-08-09, the complainant reported that a group of armed persons robbed the complainant's premises at Area-14 area of Haveri. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
56,100050028202500002,202500002,2025-07-20,97,28,1,1,2,9,4,9,2025-07-17,2025-07-17,2025-07-20,12.897805,77.697428,"On 2025-07-20, information was received at the station regarding a group of armed persons robbed the complainant's premises in Area-20 locality, Bengaluru Urban district. "
57,100120055202400001,202400001,2024-09-22,185,55,1,2,2,8,5,24,2024-09-21,2024-09-21,2024-09-22,14.56201,76.016179,"On 2024-09-22, information was received at the station regarding the complainant was robbed at knifepoint in Area-9 locality, Davanagere district. "
58,100160072202500001,202500001,2025-07-13,245,72,1,2,3,12,8,31,2025-07-11,2025-07-11,2025-07-13,14.856573,75.295201,"A complaint was received on 2025-07-13 stating that the complainant was cheated of money on false pretences near Area-19, Haveri.  Investigation has been initiated by the station."
59,100240100202500001,202500001,2025-03-15,355,100,1,2,7,26,8,48,2025-03-15,2025-03-15,2025-03-15,12.708259,77.233337,"A complaint was received on 2025-03-15 stating that the complainant was defrauded after being threatened over a video call impersonating law enforcement near Area-19, Ramanagara.  Investigation has been initiated by the station."
60,100050029202400003,202400003,2024-08-12,101,29,1,2,2,6,5,10,2024-08-11,2024-08-11,2024-08-12,12.983098,77.573119,"On 2024-08-12, the complainant reported that property belonging to the complainant was stolen at Area-2 area of Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
61,100030014202600001,202600001,2026-07-10,51,14,1,2,2,7,2,6,2026-07-08,2026-07-08,2026-07-10,15.891129,74.502712,"On 2026-07-10, the complainant reported that the complainant's house was broken into and valuables were stolen at Area-4 area of Belagavi. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
62,100150068202400001,202400001,2024-12-19,231,68,1,2,2,7,6,30,2024-12-19,2024-12-19,2024-12-19,12.992929,76.077278,"On 2024-12-19, information was received at the station regarding the complainant's house was broken into and valuables were stolen in Area-10 locality, Hassan district. "
63,100210088202600002,202600002,2026-02-05,306,88,1,2,7,26,8,42,2026-02-02,2026-02-02,2026-02-05,12.464612,76.995115,"On 2026-02-05, the complainant reported that the complainant was defrauded after being threatened over a video call impersonating law enforcement at Area-17 area of Mandya. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
64,400310125202600001,202600001,2026-06-20,444,125,4,1,2,9,1,61,2026-06-19,2026-06-19,2026-06-20,15.155145,76.518137,"A complaint was received on 2026-06-20 stating that a group of armed persons robbed the complainant's premises near Area-2, Vijayanagara.  Investigation has been initiated by the station."
65,800150067202400001,202400001,2024-08-02,227,67,3,2,2,8,5,30,2024-08-01,2024-08-01,2024-08-02,12.962733,75.992249,"On 2024-08-02, information was received at the station regarding the complainant was robbed at knifepoint in Area-13 locality, Hassan district. Preliminary information suggests a pattern consistent with prior cases in the area."
66,100200085202600001,202600001,2026-05-15,293,85,1,2,2,8,3,40,2026-05-12,2026-05-12,2026-05-15,15.236612,76.031504,"On 2026-05-15, the complainant reported that the complainant was robbed at knifepoint at Area-12 area of Koppal. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
67,100240101202600001,202600001,2026-03-19,357,101,1,2,7,26,3,47,2026-03-18,2026-03-18,2026-03-19,12.610557,77.335736,"On 2026-03-19, information was received at the station regarding the complainant was defrauded after being threatened over a video call impersonating law enforcement in Area-20 locality, Ramanagara district. "
68,100260109202500001,202500001,2025-11-25,385,109,1,2,2,10,8,51,2025-11-22,2025-11-22,2025-11-25,13.382177,77.138864,"On 2025-11-25, information was received at the station regarding the complainant's gold chain was snatched by persons on a two-wheeler in Area-18 locality, Tumakuru district. Preliminary information suggests a pattern consistent with prior cases in the area."
69,100220091202600001,202600001,2026-07-10,319,91,1,2,2,11,2,44,2026-07-09,2026-07-09,2026-07-10,12.241589,76.710754,"On 2026-07-10, information was received at the station regarding the complainant's vehicle was stolen from where it was parked in Area-10 locality, Mysuru district. "
70,300080039202400001,202400001,2024-06-01,133,39,2,2,2,6,6,15,2024-06-01,2024-06-01,2024-06-01,13.363345,77.62283,"A complaint was received on 2024-06-01 stating that property belonging to the complainant was stolen near Area-3, Chikkaballapur. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
71,100110046202600001,202600001,2026-06-10,158,46,1,2,1,4,3,21,2026-06-09,2026-06-09,2026-06-10,12.901628,74.80464,"A complaint was received on 2026-06-10 stating that the victim was physically assaulted near Area-9, Dakshina Kannada.  Investigation has been initiated by the station."
72,100020005202600001,202600001,2026-06-13,17,5,1,2,5,19,2,3,2026-06-10,2026-06-10,2026-06-13,15.198002,76.856549,"A complaint was received on 2026-06-13 stating that narcotic substances were recovered from the accused near Area-5, Ballari.  Investigation has been initiated by the station."
73,100050027202400001,202400001,2024-10-22,94,27,1,2,2,7,8,9,2024-10-21,2024-10-21,2024-10-22,12.991597,77.587017,"On 2024-10-22, information was received at the station regarding the complainant's house was broken into and valuables were stolen in Area-4 locality, Bengaluru Urban district. "
74,100060032202600001,202600001,2026-04-08,110,32,1,2,7,26,3,12,2026-04-08,2026-04-08,2026-04-08,17.967465,77.556312,"A complaint was received on 2026-04-08 stating that the complainant was defrauded after being threatened over a video call impersonating law enforcement near Area-4, Bidar.  Investigation has been initiated by the station."
75,100170078202500002,202500002,2025-08-18,271,78,1,2,3,14,3,33,2025-08-16,2025-08-16,2025-08-18,17.271175,76.924896,"On 2025-08-18, information was received at the station regarding counterfeit currency notes were found in circulation in Area-14 locality, Kalaburagi district. Preliminary information suggests a pattern consistent with prior cases in the area."
76,100020006202600002,202600002,2026-03-11,21,6,1,2,3,12,4,4,2026-03-08,2026-03-08,2026-03-11,15.185842,76.878333,"On 2026-03-11, the complainant reported that the complainant was cheated of money on false pretences at Area-15 area of Ballari.  The matter was registered and taken up for investigation."
77,100050027202400002,202400002,2024-12-26,92,27,1,2,2,11,8,9,2024-12-26,2024-12-26,2024-12-26,12.904871,77.487454,"On 2024-12-26, information was received at the station regarding the complainant's vehicle was stolen from where it was parked in Area-13 locality, Bengaluru Urban district. Preliminary information suggests a pattern consistent with prior cases in the area."
78,100120054202500003,202500003,2025-08-27,181,54,1,2,3,14,8,24,2025-08-26,2025-08-26,2025-08-27,14.419259,75.924122,"A complaint was received on 2025-08-27 stating that counterfeit currency notes were found in circulation near Area-13, Davanagere.  Investigation has been initiated by the station."
79,100110051202400002,202400002,2024-10-14,174,51,1,2,2,10,5,22,2024-10-13,2024-10-13,2024-10-14,12.880578,74.918259,"A complaint was received on 2024-10-14 stating that the complainant's gold chain was snatched by persons on a two-wheeler near Area-8, Dakshina Kannada. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
80,300120053202600001,202600001,2026-05-05,178,53,2,1,2,9,2,24,2026-05-02,2026-05-02,2026-05-05,14.47833,75.83077,"On 2026-05-05, the complainant reported that a group of armed persons robbed the complainant's premises at Area-20 area of Davanagere. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
81,100040016202500001,202500001,2025-10-10,54,16,1,2,2,7,8,8,2025-10-08,2025-10-08,2025-10-10,13.168251,77.38469,"A complaint was received on 2025-10-10 stating that the complainant's house was broken into and valuables were stolen near Area-12, Bengaluru Rural. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
82,300280115202600001,202600001,2026-05-21,403,115,2,2,8,28,2,56,2026-05-19,2026-05-19,2026-05-21,14.749162,74.718718,"On 2026-05-21, the complainant reported that a person was found dead under circumstances requiring inquest at Area-15 area of Uttara Kannada.  The matter was registered and taken up for investigation."
83,100050024202600002,202600002,2026-01-05,81,24,1,2,4,17,4,10,2026-01-04,2026-01-04,2026-01-05,12.987313,77.592465,"On 2026-01-05, the complainant reported that the complainant was molested near a public place at Area-8 area of Bengaluru Urban. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
84,100220091202400001,202400001,2024-12-23,319,91,1,2,4,17,8,44,2024-12-20,2024-12-20,2024-12-23,12.370062,76.666671,"On 2024-12-23, information was received at the station regarding the complainant was molested near a public place in Area-8 locality, Mysuru district. Preliminary information suggests a pattern consistent with prior cases in the area."
85,100030015202600001,202600001,2026-03-20,52,15,1,1,5,20,2,6,2026-03-17,2026-03-17,2026-03-20,15.852375,74.386007,"On 2026-03-20, information was received at the station regarding a narcotics trafficking network was uncovered during a routine check in Area-4 locality, Belagavi district. "
86,300250104202600001,202600001,2026-03-01,370,104,2,1,5,20,4,49,2026-02-27,2026-02-27,2026-03-01,13.817316,75.67394,"A complaint was received on 2026-03-01 stating that a narcotics trafficking network was uncovered during a routine check near Area-10, Shivamogga.  Investigation has been initiated by the station."
87,100040016202500002,202500002,2025-08-18,55,16,1,2,2,8,3,7,2025-08-17,2025-08-17,2025-08-18,13.264466,77.413317,"On 2025-08-18, the complainant reported that the complainant was robbed at knifepoint at Area-11 area of Bengaluru Rural. Preliminary information suggests a pattern consistent with prior cases in the area. The matter was registered and taken up for investigation."
88,100240101202600002,202600002,2026-05-23,357,101,1,2,1,5,3,48,2026-05-22,2026-05-22,2026-05-23,12.77724,77.353568,"On 2026-05-23, the complainant reported that a person was reported missing under suspicious circumstances suggesting abduction at Area-10 area of Ramanagara.  The matter was registered and taken up for investigation."
89,100110046202400001,202400001,2024-12-21,157,46,1,2,2,8,4,22,2024-12-21,2024-12-21,2024-12-21,12.812774,74.780751,"A complaint was received on 2024-12-21 stating that the complainant was robbed at knifepoint near Area-17, Dakshina Kannada.  Investigation has been initiated by the station."
90,100110047202600001,202600001,2026-02-09,161,47,1,2,4,17,3,21,2026-02-07,2026-02-07,2026-02-09,12.794943,74.950199,"On 2026-02-09, information was received at the station regarding the complainant was molested near a public place in Area-1 locality, Dakshina Kannada district. Preliminary information suggests a pattern consistent with prior cases in the area."
91,100050024202600003,202600003,2026-03-03,80,24,1,2,7,25,4,10,2026-03-01,2026-03-01,2026-03-03,13.007944,77.594993,"On 2026-03-03, the complainant reported that the complainant was repeatedly harassed online by an unknown person at Area-7 area of Bengaluru Urban.  The matter was registered and taken up for investigation."
92,100290119202600002,202600002,2026-03-06,422,119,1,2,2,11,3,57,2026-03-05,2026-03-05,2026-03-06,16.802016,75.671125,"A complaint was received on 2026-03-06 stating that the complainant's vehicle was stolen from where it was parked near Area-14, Vijayapura.  Investigation has been initiated by the station."
93,100070036202400001,202400001,2024-02-22,126,36,1,2,1,5,4,13,2024-02-20,2024-02-20,2024-02-22,11.854109,76.903811,"On 2024-02-22, the complainant reported that a person was reported missing under suspicious circumstances suggesting abduction at Area-19 area of Chamarajanagar.  The matter was registered and taken up for investigation."
94,100290118202600001,202600001,2026-05-07,418,118,1,2,2,8,2,58,2026-05-05,2026-05-05,2026-05-07,16.810609,75.667299,"A complaint was received on 2026-05-07 stating that the complainant was robbed at knifepoint near Area-12, Vijayapura. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
95,100050024202500003,202500003,2025-12-01,80,24,1,2,2,10,8,10,2025-11-29,2025-11-29,2025-12-01,13.024793,77.50699,"On 2025-12-01, information was received at the station regarding the complainant's gold chain was snatched by persons on a two-wheeler in Area-20 locality, Bengaluru Urban district. Preliminary information suggests a pattern consistent with prior cases in the area."
96,100260108202500001,202500001,2025-11-01,380,108,1,2,3,14,3,52,2025-11-01,2025-11-01,2025-11-01,13.332005,77.093218,"A complaint was received on 2025-11-01 stating that counterfeit currency notes were found in circulation near Area-11, Tumakuru. Preliminary information suggests a pattern consistent with prior cases in the area. Investigation has been initiated by the station."
97,100120057202500001,202500001,2025-11-28,191,57,1,2,2,8,4,23,2025-11-26,2025-11-26,2025-11-28,14.499096,75.860314,"A complaint was received on 2025-11-28 stating that the complainant was robbed at knifepoint near Area-8, Davanagere.  Investigation has been initiated by the station."
98,100100045202500001,202500001,2025-03-11,155,45,1,2,8,27,5,19,2025-03-11,2025-03-11,2025-03-11,14.270825,76.347197,"On 2025-03-11, information was received at the station regarding a family member has been missing since the reported date in Area-2 locality, Chitradurga district. Preliminary information suggests a pattern consistent with prior cases in the area."
